year_month,num_orders,price
2016-09,2,207.86
2016-10,300,46514.99
2016-12,1,10.9
2017-01,797,120098.27
2017-02,1763,244959.35
2017-03,2649,368341.32
2017-04,2386,353842.98
2017-05,3671,503159.19
2017-06,3229,429916.61
2017-07,3998,492287.3
2017-08,4304,568245.79
2017-09,4265,621415.91
2017-10,4605,660179.62
2017-11,7507,1003862.14
2017-12,5662,742183.79
2018-01,7235,945456.29
2018-02,6655,837895.43
2018-03,7185,981051.06
2018-04,6924,993592.98
2018-05,6849,992871.75
2018-06,6149,863265.53
2018-07,6251,878044.27
2018-08,6428,848860.1
2018-09,1,145.0
